126.563387|43.923856|105|7.32|88|0
126.563398|43.923854|105|6.43|77|1
126.563406|43.923852|105|5.64|68|1
126.563414|43.923850|105|4.95|59|1
126.563421|43.923849|105|4.35|52|1
126.563427|43.923848|105|3.82|46|1
126.563432|43.923847|105|3.35|40|1
126.563437|43.923846|105|2.95|35|1
126.563441|43.923845|105|2.59|31|1
126.563445|43.923844|105|2.44|29|1
126.563449|43.923844|105|2.48|30|1
126.563452|43.923843|105|2.50|30|1
126.563456|43.923842|105|2.49|30|1
126.563460|43.923841|105|2.45|29|1
126.563464|43.923841|105|2.38|29|1
126.563468|43.923840|105|2.29|27|1
126.563471|43.923839|105|2.17|26|1
126.563474|43.923839|105|2.03|24|1
126.563477|43.923838|105|1.87|22|1
126.563480|43.923837|105|1.69|20|1
126.563482|43.923837|105|1.50|18|1
126.563484|43.923837|105|1.30|16|0
126.563486|43.923836|105|1.09|13|1
126.563487|43.923836|105|0.87|10|0
126.563489|43.923836|105|1.01|12|1
126.563491|43.923835|105|1.23|15|1
126.563493|43.923835|105|1.43|17|1
126.563495|43.923834|105|1.63|20|1
126.563498|43.923834|105|1.81|22|1
126.563501|43.923833|105|1.98|24|1
126.563505|43.923832|105|2.13|26|1
126.563508|43.923832|105|2.25|27|1
126.563512|43.923831|105|2.35|28|1
126.563516|43.923830|105|2.43|29|1
126.563520|43.923829|105|2.48|30|1
126.563524|43.923829|105|2.50|30|1
126.563527|43.923828|105|2.49|30|1
126.563531|43.923827|105|2.46|29|1
126.563535|43.923826|105|2.39|29|1
126.563539|43.923826|105|2.31|28|1
126.563542|43.923825|105|2.19|26|1
126.563545|43.923824|105|2.06|25|1
126.563548|43.923824|105|1.90|23|1
126.563551|43.923823|105|1.72|21|1
126.563553|43.923823|105|1.53|18|1
126.563555|43.923822|105|1.33|16|1
126.563557|43.923822|105|1.12|13|0
126.563559|43.923822|105|0.91|11|1
126.563560|43.923821|105|0.98|12|1
126.563562|43.923821|105|1.19|14|0
126.563564|43.923821|105|1.40|17|1
126.563567|43.923820|105|1.60|19|1
126.563570|43.923820|105|1.78|21|1
126.563573|43.923819|105|1.95|23|1
126.563576|43.923818|105|2.10|25|1
126.563579|43.923818|105|2.23|27|1
126.563583|43.923817|105|2.34|28|1
126.563587|43.923816|105|2.42|29|1
126.563591|43.923815|105|2.47|30|1
126.563595|43.923815|105|2.50|30|1
126.563599|43.923814|105|2.50|30|1
126.563602|43.923813|105|2.46|30|1
126.563606|43.923812|105|2.41|29|1
126.563610|43.923812|105|2.32|28|1
126.563613|43.923811|105|2.21|27|1
126.563617|43.923810|105|2.08|25|1
126.563620|43.923810|105|1.93|23|1
126.563622|43.923809|105|1.75|21|1
126.563625|43.923809|105|1.57|19|1
126.563627|43.923808|105|1.37|16|0
126.563629|43.923808|105|1.16|14|1
126.563630|43.923807|105|0.94|11|0
126.563632|43.923807|105|0.94|11|1
126.563633|43.923807|105|1.16|14|1
126.563636|43.923806|105|1.37|16|1
126.563638|43.923806|105|1.57|19|1
126.563641|43.923805|105|1.75|21|1
126.563644|43.923805|105|1.93|23|1
126.563647|43.923804|105|2.08|25|1
126.563651|43.923803|105|2.21|27|1
126.563654|43.923803|105|2.32|28|1
126.563658|43.923802|105|2.41|29|1
126.563662|43.923801|105|2.46|30|1
126.563666|43.923800|105|2.50|30|1
126.563670|43.923800|105|2.50|30|1
126.563673|43.923799|105|2.47|30|1
126.563677|43.923798|105|2.42|29|1
126.563681|43.923797|105|2.34|28|1
126.563684|43.923797|105|2.23|27|1
126.563688|43.923796|105|2.10|25|1
126.563691|43.923795|105|1.95|23|1
126.563694|43.923795|105|1.78|21|1
126.563696|43.923794|105|1.60|19|1
126.563698|43.923794|105|1.40|17|1
126.563700|43.923794|105|1.19|14|0
126.563702|43.923793|105|0.98|12|1
126.563703|43.923793|105|0.91|11|1
126.563705|43.923793|105|1.12|13|0
126.563707|43.923792|105|1.33|16|1
126.563709|43.923792|105|1.53|18|1
126.563712|43.923791|105|1.72|21|1
126.563715|43.923791|105|1.90|23|1
126.563718|43.923790|105|2.06|25|1
126.563722|43.923789|105|2.19|26|1
126.563725|43.923789|105|2.31|28|1
126.563729|43.923788|105|2.39|29|1
126.563733|43.923787|105|2.46|29|1
126.563737|43.923786|105|2.49|30|1
126.563741|43.923786|105|2.50|30|1
126.563745|43.923785|105|2.48|30|1
126.563748|43.923784|105|2.43|29|1
126.563752|43.923783|105|2.35|28|1
126.563756|43.923783|105|2.25|27|1
126.563759|43.923782|105|2.13|26|1
126.563762|43.923781|105|1.98|24|1
126.563765|43.923781|105|1.81|22|1
126.563767|43.923780|105|1.63|20|1
126.563770|43.923780|105|1.43|17|0
126.563772|43.923779|105|1.23|15|1
126.563773|43.923779|105|1.01|12|0
126.563775|43.923779|105|0.87|10|1
126.563776|43.923778|105|1.09|13|1
126.563778|43.923778|105|1.30|16|1
